sequence,concept,site_id,lookup_key,subject,family,prior_priority,current_disposition,current_status,mathematical_and_pedagogical_review,required_rework,acceptance_gate,recommended_visualisation,source_alignment,implementation_epic,estimated_effort,final_disposition,delivery_evidence
77,Rotation & inversion,cube-direct-product,"navTitle exact match: ""Rotation & inversion""",Maps & quotients,Products & coordinates,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.",The decomposition of the full cube group as S₄×C₂ is correct and stronger than a mere count of two halves.,"Make the centrality, trivial intersection and uniqueness steps visibly parallel to the internal direct-product theorem. Contrast determinant with the sign of the diagonal permutation.",Recover both coordinates of a full cube symmetry and explain why they are independent.,"Geometry-first symmetry animation synchronized with matrices, permutations and group words.",MH2220,E2-maps-quotients,L,pending,
78,Extensions & cocycles,group-extensions,"navTitle exact match: ""Extensions & cocycles""",Maps & quotients,Products & coordinates,P2,PARTIAL_ADVANCED,"Advanced material has a worked illustration or proof roadmap, but remains compressed and source-dependent.","The carry example is good, but exact sequences, sections, actions and cohomology notation are too much to introduce at once.","Begin with C₄→C₂ and its chosen representatives. Derive the cocycle identity by associativity, define Z² and B², and state the fixed-action/equivalence data for H² classification. Treat nonabelian factor pairs and H¹ separately.",Compute the carry cocycle and explain why changing a section need not change the extension class.,"Product/extension constructor with multiplication law, action compatibility and subgroup structure views.",MH2220,E2-maps-quotients,M,pending,
79,Ring axioms,m3220-rings,"navTitle exact match: ""Ring axioms""",Rings & arithmetic,Rings & ideals,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The course’s nonunital and potentially noncommutative convention is legitimate. The problem is that later lessons require stronger assumptions without a persistent local reminder.,"Put the active convention beside each definition. Compare ℤ, 2ℤ and M₂(F), and distinguish additive group axioms from multiplicative ones. Explain the zero ring convention where relevant.",Identify which ring assumptions hold in an example before applying a later theorem.,"Concept-specific rings & ideals model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,M,guided teaching gate delivered; lesson-specific laboratory pending,"Issue #49; lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; nonunital, matrix and zero-ring conventions"
80,Subrings,m3220-subrings,"navTitle exact match: ""Subrings""",Rings & arithmetic,Rings & ideals,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",Allowing a subring with a different identity is intentional and should not be “corrected” into another convention. It does require careful explanation.,"Work the corner-matrix example and distinguish being a subring, containing the ambient 1 and being an ideal. Compare the course convention with a unital-subring convention in a visible note.",Decide whether an inclusion preserves identity and explain why that question is separate from additive/multiplicative closure.,"Concept-specific rings & ideals model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,M,pending,
81,Units & zero divisors,m3220-units,"navTitle exact match: ""Units & zero divisors""",Rings & arithmetic,Rings & ideals,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The basic distinctions are present. A small modular multiplication table cannot stand in for the general noncommutative issues.,"Compare ℤ, ℤ/8ℤ and matrix rings. Distinguish nonzero nonunits from zero divisors and left inverses from two-sided inverses. Give a domain containing nonunits.",Explain why “nonunit” and “zero divisor” are not synonyms.,"Concept-specific rings & ideals model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,M,guided teaching gate delivered; lesson-specific laboratory pending,"Issue #49; lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; Z, Z/8Z, matrices and one-sided shift boundary"
82,Domains & fields,m3220-domains,"navTitle exact match: ""Domains & fields""",Rings & arithmetic,Rings & ideals,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The finite-domain proof by injectivity and surjectivity is a good accessible argument. Its hypotheses should be foregrounded.,Show the multiplication-by-a map and its finite-set logic. Contrast an infinite domain with a field and a noncommutative division ring with a field. Explicitly exclude the zero ring where the definitions require it.,Prove that a finite integral domain is a field and identify the exact use of finiteness.,"Concept-specific rings & ideals model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,M,pending,
83,Ideals,m3220-ideals,"navTitle exact match: ""Ideals""",Rings & arithmetic,Rings & ideals,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Two-sided ideals and one-sided matrix examples are useful, but learners need to understand absorption before abstraction.","Work ideals in ℤ and F[X], then compare a matrix left ideal with a two-sided ideal. Prove the matrix-ring two-sided ideal claim with matrix units under the field hypothesis.",Explain why an arbitrary subring does not define a quotient ring.,Ideal/submodule lattice with ascending/descending chains and hypothesis-aware theorem overlays.,MH3220,E4-rings-fields,M,guided teaching and V10 laboratory delivered,Issue #49; lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; lib/algebra/ideal-quotients.ts; components/algebra/IdealQuotientLattice.tsx; tests/ideal-quotients.test.mjs; tests/browser/ideal-quotients.spec.mjs; matrix-unit proof and ideal correspondence
84,Ideal arithmetic,m3220-ideal-arithmetic,"navTitle exact match: ""Ideal arithmetic""",Rings & arithmetic,Rings & ideals,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Sum, intersection and product are distinct operations; the formulas in ℤ are good anchors but need full calculations.","Work (4)+(6), (4)∩(6) and (4)(6). Explain why ideal products are finite sums of products, not just a set of individual products. Prove equality with the intersection in the comaximal case.",Compute all three operations and state when intersection equals product.,Ideal/submodule lattice with ascending/descending chains and hypothesis-aware theorem overlays.,MH3220,E4-rings-fields,M,pending,
85,Maximal ideals,m3220-maximal,"navTitle exact match: ""Maximal ideals""",Rings & arithmetic,Rings & ideals,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The commutative-unital quotient-field criterion is a strong foundational proof opportunity. The Zorn argument is a different level of prerequisite.,"Fully prove the quotient criterion first with examples. Put maximal-ideal existence via Zorn in an optional, explicitly prerequisite-labelled proof. State properness at every relevant definition.",Translate maximality into invertibility of every nonzero quotient class.,Ideal/submodule lattice with ascending/descending chains and hypothesis-aware theorem overlays.,MH3220,E4-rings-fields,M,pending,
86,Prime ideals,m3220-prime,"navTitle exact match: ""Prime ideals""",Rings & arithmetic,Rings & ideals,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The quotient-domain criterion is valuable. An embedded correction to a source should be tracked as an erratum rather than silently mixed into teaching.,"Prove the criterion using explicit quotient classes, include (0) in a domain and compare prime versus maximal in F[X,Y]. Repair split math delimiters around products of cosets.",Exhibit a prime ideal that is not maximal and explain its quotient.,Ideal/submodule lattice with ascending/descending chains and hypothesis-aware theorem overlays.,MH3220,E4-rings-fields,M,pending,
87,Jacobson radical,m3220-jacobson,"navTitle exact match: ""Jacobson radical""",Rings & arithmetic,Rings & ideals,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The unit criterion is useful, but the definition and theorem must carry their commutative-unital hypotheses locally.","Compute J(ℤ/12ℤ), contrast it with J(ℤ), and derive the local-ring nonunit characterization. Distinguish intersection of maximal ideals from intersection of prime ideals.",Test whether an element is in J(R) using the displayed criterion with the correct quantifier.,Ideal/submodule lattice with ascending/descending chains and hypothesis-aware theorem overlays.,MH3220,E4-rings-fields,M,pending,
88,Quadratic integers,m3220-quadratic-integers,"navTitle exact match: ""Quadratic integers""",Rings & arithmetic,Factorisation & divisibility,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","The squarefree and congruence cases are meaningful, but the integral-basis theorem’s converse is only sketched.",Derive the trace/norm integrality restrictions carefully and explain the denominator argument. Compare ℤ[√5] with ℤ[(1+√5)/2]. Keep assumptions on D visible.,Determine the correct integral basis and verify that a proposed element is an algebraic integer.,"Concept-specific factorisation & divisibility model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,L,pending,
89,Norm & trace,m3220-norm-trace,"navTitle exact match: ""Norm & trace""",Rings & arithmetic,Factorisation & divisibility,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","The distinction between positive and indefinite norms is good. The unit criterion should be worked, not merely quoted.","Calculate conjugates, trace, norm and inverses in imaginary and real quadratic examples. Derive multiplicativity and the norm ±1 unit criterion in the stated ring of integers.",Decide whether a quadratic integer is a unit and give its inverse when it is.,Arithmetic lattice/factorization workbench with norm descent and unit-associate normalization.,MH3220,E4-rings-fields,L,pending,
90,Fractions,m3220-fractions,"navTitle exact match: ""Fractions""",Rings & arithmetic,Factorisation & divisibility,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The construction deliberately assumes regular denominators. Its equivalence-relation and arithmetic checks deserve explicit treatment.,"Prove transitivity using the non-zero-divisor condition, then show that sum and product are representative-independent. Distinguish the fraction field from a localization at only selected denominators.",Explain precisely why unrestricted cross-multiplication fails as the general definition with zero divisors.,"Concept-specific factorisation & divisibility model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,M,guided lesson and mathematical laboratory delivered,Issue #53; lib/algebra/guided-lessons.json#m3220-fractions; tests/localisation-chains.test.mjs; tests/browser/localisation-chains.spec.mjs
91,Euclidean domains,m3220-euclidean,"navTitle exact match: ""Euclidean domains""",Rings & arithmetic,Factorisation & divisibility,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The minimum-value argument and descent are sound, but the experience should connect division, gcd and Bézout in one calculation.","Add the full Euclidean algorithm and back-substitution, with the ideal invariant at each step. Keep the Euclidean function distinct from a discrete valuation.",Compute a gcd and a Bézout identity and explain why the algorithm terminates.,Arithmetic lattice/factorization workbench with norm descent and unit-associate normalization.,MH3220,E4-rings-fields,M,guided lesson delivered,Issue #50; lib/algebra/guided-lessons.json#m3220-euclidean; tests/guided-content.test.mjs
92,Gaussian division,m3220-gaussian-division,"navTitle exact match: ""Gaussian division""",Rings & arithmetic,Factorisation & divisibility,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The nearest-lattice-point norm estimate is a strong visual proof. It needs one uninterrupted numerical calculation.,"Work division of 7+5i by 3+2i, show the nearest Gaussian integer and verify the norm inequality for the remainder. Explain ties and nonuniqueness of a valid quotient.",Produce a valid quotient/remainder pair and justify the strict norm decrease.,"Polynomial workbench showing coefficient field, factorization changes, roots and proof certificates.",MH3220,E4-rings-fields,M,pending,
93,Principal ideals,m3220-pid,"navTitle exact match: ""Principal ideals""",Rings & arithmetic,Factorisation & divisibility,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Euclidean ⇒ PID is available, but the hierarchy and the zero ideal require clean exposition.","Handle the zero ideal separately, prove the nonzero ideal argument fully and distinguish principal ideals from PIDs. Explain why a converse needs its own theorem or counterexample rather than a reversed arrow.",Prove a given ideal is principal by the minimum-remainder argument.,Ideal/submodule lattice with ascending/descending chains and hypothesis-aware theorem overlays.,MH3220,E4-rings-fields,M,guided lesson delivered,Issue #50; lib/algebra/guided-lessons.json#m3220-pid; tests/guided-content.test.mjs
94,Prime & irreducible,m3220-prime-irreducible,"navTitle exact match: ""Prime & irreducible""",Rings & arithmetic,Factorisation & divisibility,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The distinction is important and the quadratic counterexample is appropriate. The norm argument needs to be carried through rather than alluded to.,"State nonzero/nonunit and domain hypotheses. Prove prime ⇒ irreducible, the PID converse, and explicitly verify an irreducible nonprime in ℤ[√−5].",Identify which implication holds in a domain and why the reverse needs extra structure.,"Polynomial workbench showing coefficient field, factorization changes, roots and proof certificates.",MH3220,E4-rings-fields,M,pending,
95,Unique factorisation,m3220-ufd,"navTitle exact match: ""Unique factorisation""",Rings & arithmetic,Factorisation & divisibility,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",A factorization theorem has two independent obligations—existence and uniqueness—that a short capsule tends to merge.,"Prove both stages in the PID route, including termination of factor extraction and the role of prime irreducibles. Work the competing factorizations of 6 in ℤ[√−5] and verify the factors are irreducible.","Diagnose whether a failure concerns existence, uniqueness or only different associate representatives.",Arithmetic lattice/factorization workbench with norm descent and unit-associate normalization.,MH3220,E4-rings-fields,M,guided lesson delivered,Issue #50; lib/algebra/guided-lessons.json#m3220-ufd; tests/guided-content.test.mjs
96,Localisation,m3220-localization,"navTitle exact match: ""Localisation""",Rings & arithmetic,Finiteness & local structure,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The stated universal-property discussion is restricted to an injective setting. That is a legitimate special case, not the full general property.","State the general map-to-a-ring-where-S-becomes-units property, then explain which denominator hypotheses make the localization map injective. Give a construction and a map-factorization example.",Factor a specified homomorphism through S⁻¹R and distinguish injectivity from the universal property.,Fraction-equivalence microscope showing which elements become invertible and prime spectra filtering.,MH3220,E4-rings-fields,M,guided lesson and mathematical laboratory delivered,Issue #53; lib/algebra/guided-lessons.json#m3220-localization; tests/localisation-chains.test.mjs; tests/browser/localisation-chains.spec.mjs
97,Localise at a prime,m3220-prime-localization,"navTitle exact match: ""Localise at a prime""",Rings & arithmetic,Finiteness & local structure,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The denominator distinction is handled well, but membership, units and nonunits should be tested together.","Compare ℤ_(p), ℤ[1/p] and ℚ using concrete fractions. Reduce fractions before testing membership, identify the maximal ideal and show why every element outside it is a unit.","Classify a fraction as absent, a unit or a nonunit in ℤ_(p).","Concept-specific finiteness & local structure model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,M,guided lesson and mathematical laboratory delivered,Issue #53; lib/algebra/guided-lessons.json#m3220-prime-localization; tests/localisation-chains.test.mjs; tests/browser/localisation-chains.spec.mjs
98,Other localisations,m3220-localization-variants,"navTitle exact match: ""Other localisations""",Rings & arithmetic,Finiteness & local structure,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","Laurent polynomials, rational functions and localization with zero divisors are substantial extensions of the initial construction.","Split these cases, show why denominators generated by X do not produce every rational function, and derive the auxiliary-multiplier equivalence relation. Work ℤ/6ℤ with 3 inverted and track the kernel.",Explain why localization can identify a nonzero element with zero.,"Concept-specific finiteness & local structure model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,L,pending,
99,Noetherian rings,m3220-noetherian,"navTitle exact match: ""Noetherian rings""",Rings & arithmetic,Finiteness & local structure,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The equivalent formulations are useful. A local lesson should not depend on a convention stated only “throughout the chapter.”,"State the ring/module context explicitly. Prove ACC ⇔ finite generation of every ideal, and work a finite-generation example and an infinite-variable counterexample.",Translate a nonstabilizing ascending chain into an ideal that is not finitely generated.,Ideal/submodule lattice with ascending/descending chains and hypothesis-aware theorem overlays.,MH3220,E4-rings-fields,M,guided lesson and mathematical laboratory delivered,Issue #53; lib/algebra/guided-lessons.json#m3220-noetherian; tests/localisation-chains.test.mjs; tests/browser/localisation-chains.spec.mjs
100,Hilbert’s basis theorem,m3220-hilbert,"navTitle exact match: ""Hilbert’s basis theorem""",Rings & arithmetic,Finiteness & local structure,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","Leading coefficients are mentioned, but the finite set of lower-degree corrections is a key missing argument.","Give a complete proof with a fixed degree bound and finitely many coefficient ideals, or label the current text a proof sketch. Define algebraic zero sets before using V(I) as motivation.",Explain why controlling leading coefficients alone is not the whole proof.,Ascending ideal-generation process linked to leading terms; include proof dependency diagram.,MH3220,E4-rings-fields,L,pending,
101,Krull dimension,m3220-krull,"navTitle exact match: ""Krull dimension""",Rings & arithmetic,Finiteness & local structure,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","Prime chains are introduced, but exhibiting a chain proves a lower bound, not an upper bound.",Explicitly separate “dimension at least d” from “dimension exactly d.” Work fields and ℤ completely; treat the dimension of polynomial rings as an imported theorem until its upper-bound argument is supplied.,Recognize when a diagram establishes only a lower bound.,Prime-chain explorer with examples and explicit non-geometric caveats.,MH3220,E4-rings-fields,L,pending,
102,Nilradical,m3220-nilradical,"navTitle exact match: ""Nilradical""",Rings & arithmetic,Finiteness & local structure,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The nilpotent-element viewpoint is useful, but the central equality with the intersection of all prime ideals needs a prominent theorem and proof status.","Distinguish nil ideals from nilpotent ideals, give a non-Noetherian contrast and state where finite generation makes a nil ideal nilpotent. Separate this from Jacobson radical and the noncommutative theory.",Explain why a collection of nilpotent elements need not have one common vanishing power without extra hypotheses.,Ideal/submodule lattice with ascending/descending chains and hypothesis-aware theorem overlays.,MH3220,E4-rings-fields,M,pending,
103,Artinian rings,m3220-artinian,"navTitle exact match: ""Artinian rings""",Rings & arithmetic,Finiteness & local structure,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.",DCC and examples are accessible; the route to nilpotence and Noetherianity must be audited for dependency cycles.,"Lay out the lemmas proving finiteness of maximal ideals, radical nilpotence and local decomposition. Do not invoke a finite-generation version of Nakayama using Artinian ⇒ Noetherian before that implication is established.",Identify which finite-generation claims have actually been proved at each stage.,Ideal/submodule lattice with ascending/descending chains and hypothesis-aware theorem overlays.,MH3220,E4-rings-fields,L,pending,
104,Local decomposition,m3220-artinian-decomposition,"navTitle exact match: ""Local decomposition""",Rings & arithmetic,Finiteness & local structure,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","The product of Artinian local factors is a useful structural theorem, but it is more than the semisimple quotient by the radical.","Compute the decomposition of ℤ/12ℤ and its idempotents. Contrast the full local factors with the product of residue fields, making the surviving nilpotent information visible.",Recover a ring element from its local-factor coordinates and distinguish R from R/J(R).,"Concept-specific finiteness & local structure model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,L,pending,
105,Discrete valuations,m3220-dvr,"navTitle exact match: ""Discrete valuations""",Rings & arithmetic,Finiteness & local structure,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.",The exponent picture and ideal classification are good. It must not be confused with either a Euclidean function or completion.,"Work vₚ on rational numbers, explain uniformizers and cancellation in sums, and prove all nonzero ideals are powers of the maximal ideal. Distinguish ℤ_(p) from the p-adic integers.","Determine units and ideal inclusion from valuations, with the direction of inclusion correct.","Concept-specific finiteness & local structure model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,L,pending,
106,Characteristic,m3220-characteristic,"navTitle exact match: ""Characteristic""",Fields & polynomials,Fields & extensions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The domain and finite-field conclusions are sound, but finite fields need a clearer distinction from residue rings of prime-power size.","Derive the map ℤ→R and its kernel, then prove a domain’s positive characteristic is prime. Replace “generally not” by the precise statement that 𝔽_(p²) and ℤ/p²ℤ are never isomorphic as rings.",Distinguish cardinality from characteristic and explain why a finite field is a vector space over its prime field.,"Representation/character decomposition lab with trace, invariant subspaces, inner products and multiplicities.",MH3220; Odyssey Y1,E4-rings-fields,M,pending,
107,Algebraic extensions,m3220-algebraic,"navTitle exact match: ""Algebraic extensions""",Fields & polynomials,Fields & extensions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The broad title substantially exceeds the current quadratic examples. A learner is not yet taught the general language needed by later representation arithmetic.,"Define extension fields, algebraic/transcendental elements, evaluation kernels, minimal polynomials and degree. Prove F(α)≅F[X]/(mα) and the tower law before treating quadratic fields as examples.","Find a minimal polynomial, give an extension basis and compute an extension degree.","Product/extension constructor with multiplication law, action compatibility and subgroup structure views.",MH3220,E4-rings-fields,M,pending,
108,Four-element field,m3220-finite-field-four,"navTitle exact match: ""Four-element field""",Fields & polynomials,Fields & extensions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The construction and arithmetic are correct and highly teachable. It should be a fully worked model, not just an assertion of one relation.","Build addition and multiplication from α²=α+1, calculate every inverse and compare additive and multiplicative groups. Contrast with ℤ/4ℤ and connect to the general irreducible-polynomial construction.",Explain why the field has four elements and why its nonzero elements form C₃.,"Concept-specific fields & extensions model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,M,pending,
109,Quadratic quotient rings,quadratic-quotient,"navTitle exact match: ""Quadratic quotient rings""",Fields & polynomials,Fields & extensions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","This is a strong comparative capstone: the same vector-space size can conceal a field, a product or nilpotents.","Retain the three size-nine examples and compute explicit operations, an inverse, a zero divisor and a nilpotent. Show the CRT map in the split case rather than only naming the theorem.",Diagnose all three ring types from factorization of the modulus and verify the diagnosis arithmetically.,Partition/fiber view synchronized with the quotient operation and the relevant commuting map.,MH3220,E4-rings-fields,M,pending,
110,Coefficient data,m3220-polynomial,"navTitle exact match: ""Coefficient data""",Fields & polynomials,Polynomials & roots,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",Formal polynomials versus polynomial functions is an excellent distinction. The coefficient operations need a concrete derivation.,"Show finite-support coefficient sequences, addition and convolution multiplication. Exhibit distinct polynomials inducing the same function over a finite field and degree collapse over a ring with zero divisors.",Explain why Xᵖ−X can be nonzero as a polynomial while vanishing at every element of 𝔽ₚ.,"Concept-specific polynomials & roots model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,M,pending,
111,Division,m3220-polynomial-division,"navTitle exact match: ""Division""",Fields & polynomials,Polynomials & roots,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The field and monic-divisor conditions are important. A worked long division is needed to show how the theorem operates.,Demonstrate each cancellation step and the proof of uniqueness. Contrast monic division over a general commutative ring with a divisor whose leading coefficient is a nonunit.,Perform division and identify exactly why the attempted algorithm can fail over ℤ.,"Polynomial workbench showing coefficient field, factorization changes, roots and proof certificates.",MH3220,E4-rings-fields,M,guided lesson and mathematical laboratory delivered,Issue #50; lib/algebra/guided-lessons.json#m3220-polynomial-division; tests/guided-content.test.mjs; tests/browser/polynomial-factorisation.spec.mjs
112,Roots & multiplicity,m3220-roots,"navTitle exact match: ""Roots & multiplicity""",Fields & polynomials,Polynomials & roots,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The factor theorem and degree bound belong together, but the domain hypothesis and the nonzero-polynomial condition must remain visible.","Prove the factor theorem, count roots by repeated factorization and give a zero-divisor counterexample. Introduce repeated factors carefully before any derivative test, including characteristic-p caveats.",Explain why a polynomial over a ring with zero divisors can have more roots than its degree.,"Concept-specific polynomials & roots model with prediction, invariant readout, counterexample and theorem debrief.",MH3220,E4-rings-fields,M,pending,
113,Irreducibility,m3220-irreducibility-tests,"navTitle exact match: ""Irreducibility""",Fields & polynomials,Polynomials & roots,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The degree-two/three root test is useful; a failed root search is not a general factorization proof.,"Work quadratic, cubic and reducible quartic examples. Add the rational-root test and a properly stated reduction-mod-p irreducibility criterion, with failed sufficient tests explicitly inconclusive.","Prove irreducibility using a valid criterion and reject a false “no roots, therefore irreducible” argument in degree four.","Polynomial workbench showing coefficient field, factorization changes, roots and proof certificates.",MH3220,E4-rings-fields,M,guided lesson and mathematical laboratory delivered,Issue #50; lib/algebra/guided-lessons.json#m3220-irreducibility-tests; tests/guided-content.test.mjs; tests/browser/polynomial-factorisation.spec.mjs
114,Gauss’s lemma,m3220-gauss,"navTitle exact match: ""Gauss’s lemma""",Fields & polynomials,Polynomials & roots,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The content argument is appropriate but several logical bridges are compressed.,"Define primitive part and content, prove products of primitive polynomials are primitive by reduction modulo a prime, then clear denominators carefully. State the role of nonconstant factors in the rational/integer equivalence.",Turn a hypothetical factorization over ℚ into the required factorization over ℤ.,"Polynomial workbench showing coefficient field, factorization changes, roots and proof certificates.",MH3220,E4-rings-fields,M,guided lesson and mathematical laboratory delivered,Issue #50; lib/algebra/guided-lessons.json#m3220-gauss; tests/guided-content.test.mjs; tests/browser/polynomial-factorisation.spec.mjs
115,Eisenstein,m3220-eisenstein,"navTitle exact match: ""Eisenstein""",Fields & polynomials,Polynomials & roots,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The monic version and shifted-polynomial example are good. Learners need to understand that the test is sufficient, not necessary.",Work X⁴+1 after translating X↦X+1 and justify that translation preserves reducibility. Optionally add the nonmonic version with p not dividing the leading coefficient.,Check every divisibility condition and explain why failure of the test proves nothing by itself.,"Polynomial workbench showing coefficient field, factorization changes, roots and proof certificates.",MH3220,E4-rings-fields,M,guided lesson and mathematical laboratory delivered,Issue #50; lib/algebra/guided-lessons.json#m3220-eisenstein; tests/guided-content.test.mjs; tests/browser/polynomial-factorisation.spec.mjs
116,Polynomial factorisation,m3220-polynomial-ufd,"navTitle exact match: ""Polynomial factorisation""",Fields & polynomials,Polynomials & roots,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The UFD/PID distinction is valuable, but the general theorem and a special ℤ[X] example should not be treated as the same proof.","Prove the polynomial UFD theorem using Gauss. Show (2,X) is not principal in ℤ[X] and supply a general argument for the stated field/PID characterization under its hypotheses.",Distinguish unique factorization of elements from every ideal being principal.,"Polynomial workbench showing coefficient field, factorization changes, roots and proof certificates.",MH3220,E4-rings-fields,M,pending,
117,Nakayama,m3220-nakayama,"navTitle exact match: ""Nakayama""",Modules & representations,Modules & linear actions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The finite-generator argument is useful, but placing this before Module axioms is a major curriculum error.","Move it after modules, finite generation, local rings and Jacobson radical. Add the generator-lifting version and an example over a local ring, then retain the non-finitely-generated counterexample.",Explain every hypothesis and use M/𝔪M to lift a generating set.,Generator deletion animation in a local ring with the Jacobson-radical hypothesis always visible.,MH3220; URECA Y2,E6-modules-representations,M,pending,
